BN,FPE,FormID,#,DoneeBN,DoneeName,Associated,City,Province,TotalGifts,GiftsinKind,PoliticalActivityGift,PoliticalActivityAmount
100810290RR0001,2024-12-31,27,000000004,119138527RR0001,THE SAMARITAN'S PURSE CANADA,N,CALGARY,AB,259.0,,,
101039329RR0001,2024-06-30,27,000000001,,Cochrane Activettes,N,cochrane,AB,1000.0,,,
101039329RR0001,2024-06-30,27,000000003,,Big Hill Haven,N,cochrane,AB,500.0,,,
101039329RR0001,2024-06-30,27,000000004,,Cochrane Public Library,N,Cochrane,AB,500.0,,,
101039329RR0001,2024-06-30,27,000000005,,BGC Cochrane,N,Cochrane,AB,500.0,,,
101039329RR0001,2024-06-30,27,000000006,,cochrane Pregnancy Care Centre,N,cochrane,AB,500.0,,,
101039329RR0001,2024-06-30,27,000000007,,Rocky View Schools,N,Airdrie,AB,2100.0,,,
101039329RR0001,2024-06-30,27,000000008,,cochrane Humane Society,N,Cochrane,AB,500.0,,,
101161123RR0001,2024-12-31,27,000000012,108223371RR0001,WYCLIFFE,N,CALGARY,AB,690.0,,,
101577294RR0001,2024-12-31,27,000000001,,CANADIAN PROGRESS CLUB EDMONTON SOUTH,N,EDMONTON,AB,1404.0,,,
101577294RR0001,2024-12-31,27,000000002,,ALUMNI & FRIENDS OF GOLDEN BEARS WRESTLING,N,EDMONTON,AB,6760.0,,,
101577294RR0001,2024-12-31,27,000000003,,RIVERBEND REACHING OUT TO COMMUNITY,N,EDMONTON,AB,2561.0,,,
101577294RR0001,2024-12-31,27,000000004,,GLOBAL MEDICAL BRIGADES UNIVERSITY OF ALBERTA,N,EDMONTON,AB,2268.0,,,
101577294RR0001,2024-12-31,27,000000005,,EDMONTON ROCKERS ATHLETICS CLUB,N,EDMONTON,AB,936.0,,,
101577294RR0001,2024-12-31,27,000000006,,GOLDEN KEY NATIONAL HONOR SOCIETY,N,EDMONTON,AB,286.0,,,
101577294RR0001,2024-12-31,27,000000007,,SOUTH WEST EDMONTON SENIORS ASSOCIATION,N,EDMONTON,AB,780.0,,,
101577294RR0001,2024-12-31,27,000000008,,MILL WOODS SENIORS ASSOCIATION,N,EDMONTON,AB,312.0,,,
101577294RR0001,2024-12-31,27,000000009,,IHUMAN YOUTH SOCIETY,N,EDMONTON,AB,624.0,,,
101577294RR0001,2024-12-31,27,000000010,,NORTH EDMONTON SENIORS ASSOCIATION,N,EDMONTON,AB,3033.0,,,
101577294RR0001,2024-12-31,27,000000011,,PHI GAMMA DELTA,N,EDMONTON,AB,16649.0,,,
101577294RR0001,2024-12-31,27,000000012,,UNIVERSITY OF ALBERTA PHILIPPINE SOCIETY,N,EDMONTON,AB,1692.0,,,
101577294RR0001,2024-12-31,27,000000013,,THE CHRISTMAS BUREAU OF EDMONTON,N,EDMONTON,AB,21894.0,,,
101577294RR0001,2024-12-31,27,000000014,,HIV NETWORK OF EDMONTON SOCIETY,N,EDMONTON,AB,786.0,,,
101577294RR0001,2024-12-31,27,000000015,,BOYS AND GIRLS CLUB BIG BROTHERS BIG SISTERS,N,EDMONTON,AB,9919.0,,,
