"BN/Registration number","Fiscal period end","Form ID","100","110","111","112","120","130"
"100021237RR0001",2024-6-30 00:00:00,"27",,,,,,
"100021252RR0001",2024-6-30 00:00:00,"27",,,,,,
"100040781RR0001",2024-3-31 00:00:00,"27",,,,,,
"100042373RR0001",2024-3-31 00:00:00,"27",,,,,,
"100042670RR0001",2024-3-31 00:00:00,"27",,,,,,
"100044452RR0001",2024-6-30 00:00:00,"27",,,,,,
"100048800RR0001",2024-8-31 00:00:00,"27",,,,,,
"100071927RR0001",2024-8-31 00:00:00,"27",,,,,,
"100072586RR0001",2024-12-31 00:00:00,"27",,,,,,
"100072933RR0001",2024-12-31 00:00:00,"27",,,,,,
"100075415RR0001",2024-3-31 00:00:00,"27",,,,,,
"100075423RR0001",2024-3-31 00:00:00,"27",,,,,,
"100075472RR0001",2024-3-31 00:00:00,"27",,,,,,
"100090059RR0001",2024-3-31 00:00:00,"27",,,,,,
"100090091RR0001",2024-3-31 00:00:00,"27",,,,,,
"100096585RR0001",2024-12-31 00:00:00,"27",,,,,,
"100107598RR0001",2024-6-30 00:00:00,"27",,,,,,
"100110626RR0001",2024-4-30 00:00:00,"27",,,,,,
"100148196RR0001",2024-3-31 00:00:00,"27",,,,,,
"100161512RR0001",2024-7-31 00:00:00,"27",,,,,,
"100172188RR0001",2024-3-31 00:00:00,"27",,,,,,
"100192012RR0001",2024-10-31 00:00:00,"27",,,,,,
"100192194RR0001",2024-3-31 00:00:00,"27",,,,,,
"100193457RR0001",2024-12-31 00:00:00,"27",,,,,,
"100249168RR0001",2024-3-31 00:00:00,"27",,,,,,
"100265867RR0001",2024-12-31 00:00:00,"27",,,,,,
"100295138RR0001",2024-7-31 00:00:00,"27",,,,,,
"100295823RR0001",2024-9-30 00:00:00,"27",,,,,,
"100296318RR0001",2024-3-31 00:00:00,"27",,,,,,
"100296490RR0001",2024-3-31 00:00:00,"27",,,,,,
"100296532RR0002",2024-3-31 00:00:00,"27",,,,,,
"100299163RR0001",2024-12-31 00:00:00,"27",,,,,,
"100300219RR0001",2024-3-31 00:00:00,"27",,,,,,
"100300748RR0001",2024-3-31 00:00:00,"27",,,,,,
"100300979RR0001",2024-6-30 00:00:00,"27",,,,,,
"100301019RR0001",2024-1-31 00:00:00,"27",,,,,,
"100301290RR0001",2024-8-31 00:00:00,"27",,,,,,
