"BN/Registration number","Fiscal period end","Form ID","Sequence number","Charity's Program Country Code"
"100072586RR0001",2024-12-31 00:00:00,"27",1,"PK"
"100072586RR0001",2024-12-31 00:00:00,"27",2,"AF"
"100072586RR0001",2024-12-31 00:00:00,"27",3,"TJ"
"100072586RR0001",2024-12-31 00:00:00,"27",4,"KG"
"100072586RR0001",2024-12-31 00:00:00,"27",5,"IN"
"100072586RR0001",2024-12-31 00:00:00,"27",6,"KE"
"100072586RR0001",2024-12-31 00:00:00,"27",7,"UG"
"100072586RR0001",2024-12-31 00:00:00,"27",8,"TZ"
"100072586RR0001",2024-12-31 00:00:00,"27",9,"MZ"
"100072586RR0001",2024-12-31 00:00:00,"27",10,"MG"
"100072586RR0001",2024-12-31 00:00:00,"27",11,"SY"
"100764638RR0001",2024-12-31 00:00:00,"27",1,"IL"
"100766427RR0001",2024-9-30 00:00:00,"27",1,"FR"
"100766427RR0001",2024-9-30 00:00:00,"27",2,"GB"
"100773365RR0001",2024-3-31 00:00:00,"27",1,"US"
"101098168RR0001",2024-3-31 00:00:00,"27",1,"FR"
"102934163RR0001",2024-12-31 00:00:00,"27",1,"NG"
"102992047RR0001",2024-3-31 00:00:00,"27",1,"CL"
"102992047RR0001",2024-3-31 00:00:00,"27",2,"KR"
"102992047RR0001",2024-3-31 00:00:00,"27",3,"ES"
"102992047RR0001",2024-3-31 00:00:00,"27",4,"CN"
"103066064RR0001",2024-6-30 00:00:00,"27",1,"PE"
"103066064RR0001",2024-6-30 00:00:00,"27",2,"HT"
"103608717RR0001",2024-3-31 00:00:00,"27",1,"DE"
"103608717RR0001",2024-3-31 00:00:00,"27",2,"ES"
"103608717RR0001",2024-3-31 00:00:00,"27",3,"RO"
"103608717RR0001",2024-3-31 00:00:00,"27",4,"IT"
"103608717RR0001",2024-3-31 00:00:00,"27",5,"US"
"103608717RR0001",2024-3-31 00:00:00,"27",6,"MX"
"103608717RR0001",2024-3-31 00:00:00,"27",7,"FR"
"103608717RR0001",2024-3-31 00:00:00,"27",8,"QP"
"104904560RR0001",2024-12-31 00:00:00,"27",1,"US"
"105198873RR0001",2024-3-31 00:00:00,"27",1,"HT"
"105198873RR0001",2024-3-31 00:00:00,"27",2,"JM"
"105474183RR0001",2024-12-31 00:00:00,"27",1,"NL"
"105645212RR0001",2024-8-31 00:00:00,"27",1,"KH"
"105645212RR0001",2024-8-31 00:00:00,"27",2,"EC"
"105645212RR0001",2024-8-31 00:00:00,"27",3,"JP"
"105645212RR0001",2024-8-31 00:00:00,"27",4,"QS"
"106422421RR0001",2024-3-31 00:00:00,"27",1,"GT"
"106680838RR0001",2024-12-31 00:00:00,"27",1,"UA"
"106680838RR0001",2024-12-31 00:00:00,"27",2,"PH"
"106700172RR0001",2024-12-31 00:00:00,"27",1,"CU"
"106708159RR0001",2024-12-31 00:00:00,"27",1,"US"
"106735830RR0001",2024-3-31 00:00:00,"27",1,"ZA"
"106740905RR0001",2024-12-31 00:00:00,"27",1,"US"
"106771710RR0001",2024-6-30 00:00:00,"27",1,"US"
"106771710RR0001",2024-6-30 00:00:00,"27",2,"TD"
"106771710RR0001",2024-6-30 00:00:00,"27",3,"QP"
"106771710RR0001",2024-6-30 00:00:00,"27",4,"QS"
"106788490RR0001",2024-8-31 00:00:00,"27",1,"UG"
"106788862RR0001",2024-12-31 00:00:00,"27",1,"IN"
"106789100RR0001",2024-6-30 00:00:00,"27",1,"US"
"106789100RR0001",2024-6-30 00:00:00,"27",2,"MX"
"106789910RR0001",2024-12-31 00:00:00,"27",1,"JM"
"106792120RR0001",2024-12-31 00:00:00,"27",1,"US"
"106792120RR0001",2024-12-31 00:00:00,"27",2,"UA"
"106792120RR0001",2024-12-31 00:00:00,"27",3,"ES"
"106794050RR0001",2024-12-31 00:00:00,"27",1,"US"
"106799349RR0001",2024-6-30 00:00:00,"27",1,"TH"
"106799349RR0001",2024-6-30 00:00:00,"27",2,"KH"
"106799349RR0001",2024-6-30 00:00:00,"27",3,"EG"
"106799349RR0001",2024-6-30 00:00:00,"27",4,"MN"
"106799349RR0001",2024-6-30 00:00:00,"27",5,"BD"
"106799349RR0001",2024-6-30 00:00:00,"27",6,"PK"
"106799349RR0001",2024-6-30 00:00:00,"27",7,"YE"
"106799349RR0001",2024-6-30 00:00:00,"27",8,"AL"
"106799349RR0001",2024-6-30 00:00:00,"27",9,"ET"
"106799349RR0001",2024-6-30 00:00:00,"27",10,"KZ"
"106812597RR0001",2024-7-31 00:00:00,"27",1,"CU"
"106830342RR0001",2024-12-31 00:00:00,"27",1,"MM"
"106830342RR0001",2024-12-31 00:00:00,"27",2,"TH"
"106832504RR0001",2024-12-31 00:00:00,"27",1,"MX"
"106833577RR0001",2024-12-31 00:00:00,"27",1,"CR"
"106834120RR0001",2024-12-31 00:00:00,"27",1,"RS"
"106834120RR0001",2024-12-31 00:00:00,"27",2,"KE"
"106834120RR0001",2024-12-31 00:00:00,"27",3,"ET"
"106836786RR0001",2024-12-31 00:00:00,"27",1,"CN"
"106844640RR0001",2024-12-31 00:00:00,"27",1,"CU"
"106846942RR0001",2024-8-31 00:00:00,"27",1,"FR"
"106846942RR0001",2024-8-31 00:00:00,"27",2,"CH"
"106846942RR0001",2024-8-31 00:00:00,"27",3,"GB"
"106846942RR0001",2024-8-31 00:00:00,"27",4,"IL"
"106846942RR0001",2024-8-31 00:00:00,"27",5,"MA"
"106846942RR0001",2024-8-31 00:00:00,"27",6,"MG"
"106846942RR0001",2024-8-31 00:00:00,"27",7,"SK"
"106846942RR0001",2024-8-31 00:00:00,"27",8,"US"
"106846942RR0001",2024-8-31 00:00:00,"27",9,"ZA"
"106863061RR0001",2024-4-30 00:00:00,"27",1,"IL"
"106864242RR0001",2024-12-31 00:00:00,"27",1,"BO"
"106864242RR0012",2024-12-31 00:00:00,"27",1,"HT"
"106864242RR0015",2024-12-31 00:00:00,"27",1,"KE"
"106865934RR0001",2024-12-31 00:00:00,"27",1,"MX"
"106866106RR0001",2024-12-31 00:00:00,"27",1,"TL"
"106868847RR0001",2024-12-31 00:00:00,"27",1,"US"
"106868847RR0001",2024-12-31 00:00:00,"27",2,"LB"
"106868847RR0001",2024-12-31 00:00:00,"27",3,"QN"
"106868847RR0001",2024-12-31 00:00:00,"27",4,"KE"
"106868847RR0001",2024-12-31 00:00:00,"27",5,"AL"
"106868847RR0001",2024-12-31 00:00:00,"27",6,"BO"
"106868847RR0001",2024-12-31 00:00:00,"27",7,"RO"
"106868847RR0001",2024-12-31 00:00:00,"27",8,"GT"
"106868847RR0001",2024-12-31 00:00:00,"27",9,"GH"
"106868847RR0001",2024-12-31 00:00:00,"27",10,"QR"
"106877624RR0001",2024-12-31 00:00:00,"27",1,"MX"
"106880107RR0057",2024-12-31 00:00:00,"27",1,"IN"
"106883747RR0001",2024-6-30 00:00:00,"27",1,"QS"
"106883747RR0001",2024-6-30 00:00:00,"27",2,"SA"
"106883747RR0001",2024-6-30 00:00:00,"27",3,"JP"
"106884760RR0001",2024-3-31 00:00:00,"27",1,"IN"
"106884760RR0001",2024-3-31 00:00:00,"27",2,"PA"
"106884760RR0001",2024-3-31 00:00:00,"27",3,"KR"
"106884760RR0001",2024-3-31 00:00:00,"27",4,"PH"
"106884760RR0001",2024-3-31 00:00:00,"27",5,"CN"
"106884760RR0001",2024-3-31 00:00:00,"27",6,"QR"
"106884760RR0001",2024-3-31 00:00:00,"27",7,"SG"
"106884760RR0001",2024-3-31 00:00:00,"27",8,"VN"
"106884760RR0001",2024-3-31 00:00:00,"27",9,"MX"
"106884760RR0001",2024-3-31 00:00:00,"27",10,"MU"
"106885585RR0001",2024-6-30 00:00:00,"27",1,"MX"
"106897689RR0001",2024-12-31 00:00:00,"27",1,"CU"
"106897689RR0001",2024-12-31 00:00:00,"27",2,"HT"
"106913502RR0001",2024-12-31 00:00:00,"27",1,"CN"
"106913502RR0001",2024-12-31 00:00:00,"27",2,"NI"
"106913502RR0001",2024-12-31 00:00:00,"27",3,"US"
"106913502RR0001",2024-12-31 00:00:00,"27",4,"JP"
"106913502RR0001",2024-12-31 00:00:00,"27",5,"QN"
"106913502RR0001",2024-12-31 00:00:00,"27",6,"ME"
"106913627RR0001",2024-3-31 00:00:00,"27",1,"HR"
"106913627RR0001",2024-3-31 00:00:00,"27",2,"QP"
"106913627RR0001",2024-3-31 00:00:00,"27",3,"CO"
"106913627RR0001",2024-3-31 00:00:00,"27",4,"KH"
"106915556RR0001",2024-12-31 00:00:00,"27",1,"TH"
"106915598RR0001",2024-12-31 00:00:00,"27",1,"CR"
"106917685RR0001",2024-12-31 00:00:00,"27",1,"HT"
"106918329RR0001",2024-6-30 00:00:00,"27",1,"CM"
"106918329RR0001",2024-6-30 00:00:00,"27",2,"ET"
"106918329RR0001",2024-6-30 00:00:00,"27",3,"KE"
"106918329RR0001",2024-6-30 00:00:00,"27",4,"TZ"
"106918329RR0001",2024-6-30 00:00:00,"27",5,"UG"
"106918329RR0001",2024-6-30 00:00:00,"27",6,"ZM"
"106918329RR0001",2024-6-30 00:00:00,"27",7,"QS"
"106918485RR0001",2024-6-30 00:00:00,"27",1,"JM"
"106918485RR0001",2024-6-30 00:00:00,"27",2,"UA"
