"BN/Registration number","Fiscal period end","Form ID","200","210","220","230","240","250","260"
"100072586RR0001",2024-12-31 00:00:00,"27",$37265985.00,"Y","Y",$27687828.00,"Y","N","N"
"100301894RR0001",2024-3-31 00:00:00,"27",,"N","N",,"N","N","N"
"100764638RR0001",2024-12-31 00:00:00,"27",,"Y","N",,"N","N","N"
"100764646RR0001",2024-12-31 00:00:00,"27",$67221.00,"Y","N",,"N","N","N"
"100766427RR0001",2024-9-30 00:00:00,"27",$585285.00,"N","N",,"N","N","N"
"100773365RR0001",2024-3-31 00:00:00,"27",$8200.00,"N","N",,"N","N","N"
"101098168RR0001",2024-3-31 00:00:00,"27",$2000.00,"N","N",,"N","N","N"
"102934163RR0001",2024-12-31 00:00:00,"27",$60000.00,"Y","N",,"N","N","N"
"102992047RR0001",2024-3-31 00:00:00,"27",$125889.00,"N","N",,"Y","N","N"
"103066064RR0001",2024-6-30 00:00:00,"27",$1088452.00,"Y","N",,"N","N","N"
"103309431RR0001",2024-6-30 00:00:00,"27",$255085.00,"N","N",,"Y","N","N"
"103481032RR0001",2024-3-31 00:00:00,"27",$154250.00,"Y","Y",$2212783.00,"N","N","N"
"103608717RR0001",2024-3-31 00:00:00,"27",$925141.00,"Y","N",,"Y","N","N"
"104483680RR0001",2024-3-31 00:00:00,"27",$2000.00,"Y","N",,"N","N","N"
"104904560RR0001",2024-12-31 00:00:00,"27",$104838.00,"N","N",,"Y","N","N"
"105194872RR0001",2024-6-30 00:00:00,"27",$1204337.00,"Y","N",,"Y","N","N"
"105198873RR0001",2024-3-31 00:00:00,"27",$2427922.00,"N","N",,"Y","Y","N"
"105210017RR0001",2024-12-31 00:00:00,"27",$33088.00,"N","N",,"N","N","N"
"105474183RR0001",2024-12-31 00:00:00,"27",$3822.00,"N","N",,"N","N","N"
"105645212RR0001",2024-8-31 00:00:00,"27",$773389.00,"N","N",,"Y","N","N"
"106422421RR0001",2024-3-31 00:00:00,"27",$38330.00,"N","N",,"N","Y","N"
"106680838RR0001",2024-12-31 00:00:00,"27",$7300.00,"N","N",,"N","Y","N"
"106700172RR0001",2024-12-31 00:00:00,"27",$65526.00,"Y","N",,"Y","Y","N"
"106708159RR0001",2024-12-31 00:00:00,"27",$1200.00,"N","N",,"N","N","N"
"106718919RR0001",2024-12-31 00:00:00,"27",$0.00,"N","N",,"N","N","N"
