"BN/Registration number","Fiscal period end","Form ID","500","505","510","515","520","525","530","535","540","545","550","555","560","565","580"
"100048800RR0001",2024-8-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$7592.00
"100072586RR0001",2024-12-31 00:00:00,"27",,,,,,,"Y",,"Y","Y","Y",,"Y","Land and Buildings used for charitable purposes",$11843545.00
"100096585RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$3600.00
"100193457RR0001",2024-12-31 00:00:00,"27",,,,,,,"Y",,,,"Y",,,,
"100301878RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","CERTIFICAT CADEAUX",$200.00
"100316132RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,,,,,$400.00
"100504679RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,"Y",,,,$3667.00
"100718212RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","ESSENCE, NOURRITURE,",$10103.00
"100731660RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","Office and Kitchen supplies",$3372.00
"100764638RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,
"100765114RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$311195.00
"100872894RR0001",2024-12-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$7789.00
"100876499RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$5425.00
"100876630RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","VAISSELLES,JOUETS,BIBELOTS,ETC...",$32929.00
"100877570RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","PAPIER",$230280.00
"100878776RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","DENRÉES",$223208.00
"100879576RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,
"100886522RR0001",2024-4-30 00:00:00,"27",,,,,,,,,,,,,"Y","BOIS ET LOC. CONTENEUR",$3645.00
"100886530RR0001",2024-6-30 00:00:00,"27","Y",,,,,,,,,,,"Y","Y","Fournitures d'atelier",$5380.00
"100914647RR0001",2024-12-31 00:00:00,"27",,"Y","Y",,,,,,,,,,,,$363034.00
"100960863RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","LAND",$226163.00
"100966175RR0001",2024-3-31 00:00:00,"27",,"Y",,"Y",,,,,,,,,,,$23442.00
"100977180RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","YARD SUPPLIES, BULBS",$43.00
"101069029RR0001",2024-10-31 00:00:00,"27",,,,,"Y",,,,,,,,"Y","VOLUNTEER TIME",$53873.00
"101151520RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$44927.00
"101159564RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$215715.00
"101161115RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,,,$58460.00
"101258077RR0001",2024-8-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$5903.00
"101469609RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","PUBLICLY TRADED SHARES",$65783.00
"101544351RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,,,"Y","toys",$488.00
"101563096RR0001",2024-12-31 00:00:00,"27","Y",,,,,,,,,,,,"Y","PHOTOGRAPHIES ET VIDÉO",$50000.00
"101678969RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","GIFT CARDS",$1095.00
"101688448RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","TRUCK MAINTENANCE, PRIZES FOR RAFFLES, PLOWING",$5048.00
"101747103RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$1031324.00
"101835007RR0001",2024-4-30 00:00:00,"27","Y",,,,,,,,,,,,,,$635.00
"101835155RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,"Y","ACTIONS ORDINAIRES",$103067.00
"101835163RR0001",2024-12-31 00:00:00,"27","Y",,"Y",,,,,,,"Y",,,"Y","DIVERS FORFAITS",$86094.00
"101835247RR0001",2024-3-31 00:00:00,"27","Y",,"Y",,,,,,,"Y",,,"Y","BILLETS DE SPORTS",$23856.00
"101835502RR0001",2024-4-30 00:00:00,"27",,,,,,,"Y",,,,,,,,$62044.00
"101835544RR0001",2024-3-31 00:00:00,"27","Y",,,,,,,,,,"Y",,,,$150317.00
"101835841RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$69913.00
"101836054RR0001",2024-8-31 00:00:00,"27",,,,,,,"Y",,,,,,"Y","PRIME ASS-VIE",$1202.00
"101836542RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$2570.00
"101836823RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,"Y","PRODUIT COSMÉTIQUE",$51157.00
"101837342RR0001",2024-6-30 00:00:00,"27",,,,,,,,,,,,,"Y","INSTRUMENTS ET ACTIONS",$58049.00
"101837896RR0001",2024-3-31 00:00:00,"27","Y",,,,,,"Y",,,,"Y",,,,$806194.00
"101945418RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y","CERTIFICATS CADEAUX",$614.00
"102150349RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,"Y",,,,,$63725.00
"102163045RR0001",2024-3-31 00:00:00,"27",,,"Y",,,,,,,,,,,,$1513.00
"102177979RR0001",2024-9-30 00:00:00,"27",,,,,,,,,,,,,"Y",,$9567.00
"102208881RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,,,"Y",,
"102450376RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,"Y",,,,$2311.00
"102540473RR0001",2024-6-30 00:00:00,"27",,,,,,,,,"Y",,,,,,$624050.00
